NCM;CNAE
27150000;23991
28322000;20193
29051993;20291
29052220;20291
29091100;20291
29171322;20291
29211999;20291
29221941;20291
29242963;20291
29299029;20291
29305020;20517
29319077;20291
29333322;21106
29335371;21106
29336923;20291
29339952;20291
29349969;20291
29372221;21106
30039041;21220
33019020;20932
36049010;20924
38089331;20525
39071031;20312
44034900;2101
1031000;1547
3019992;3124
3061200;10201
7094000;1211
7133311;1415
8022200;10317
13023219;10996
15021090;10112
16041410;10201
23023010;10627
26203000;24431
28272090;20193
28299021;20193
29037500;20291
29071510;20291
29093012;20291
29213020;20291
29215919;20291
29222990;20291
29336911;20291
29391182;21106
30039099;21211
30043928;21220
32041210;20291
38089326;20517
38249087;20991
39069039;20312
39269090;32922
40112090;22111
41071210;15106
1022919;1512
2091029;10121
3038952;10201
10064000;10619
12074010;1415
12129400;1130
15060000;10431
27012000;19225
28299039;20193
28415012;20193
29037600;20291
29037736;20291
29052230;20291
29161520;20291
29333110;20291
29333381;20291
29335330;21106
29349150;20291
30049023;21220
32041590;20291
35029010;20291
39012011;20312
39044090;20312
39081019;20312
39095011;20321
39211390;22218
40169300;22196
44211000;16293
2109900;10139
3019290;3221
3043100;10201
4021010;10520
4052000;10520
4072900;1555
10041000;1415
11031900;10694
18061000;10937
23040010;10414
25102010;23991
25201020;8100
25291000;8991
27109100;20991
28181090;23991
28417010;20193
29037939;20291
29211991;20291
29213011;20291
29222919;20291
29309079;20291
29309082;20291
29362310;21106
29362520;21106
29372110;21106
29419062;21106
29419072;21106
30033912;21220
30033981;21220
30039054;21211
30043917;21220
35079032;20291
38089295;20517
38099149;20932
39173900;22293
40070020;22196
40103600;22196
44111210;16218
44181000;16226
44184000;16226
46019200;16293
48010010;17214
1039100;1547
3023500;3116
3032900;10201
3038957;10201
7133990;1199
7144000;1393
7149000;1199
10039080;1113
11062000;10635
15021012;10112
28092030;20126
28469010;20193
28521021;20291
29061200;20223
29061910;20291
29093029;20291
29155020;20291
29157031;20291
29189912;20517
29199050;20291
29269024;20517
29280030;20291
29309035;20291
30021029;21220
32041400;20291
32071090;20711
38089322;20517
39075010;20321
39173230;22293
3028100;3213
3028911;3116
3038945;10201
3077100;3221
7070000;1211
16023210;10121
20049000;10961
27101221;19217
28291990;20193
28364000;20193
28419012;20193
29042052;20291
29152990;20291
29189993;20517
29214422;20291
30022028;21211
30029030;21106
38089294;20517
38249011;20991
39131000;20291
39209910;22218
39211310;22218
40161010;22196
41041111;15106
44031000;2209
3024400;3221
3075990;10201
3079900;10201
4021090;10520
7093000;1211
9030010;2209
10011100;1415
18063220;10937
20079100;10317
20096100;10333
22021000;11224
27101991;19225
29096012;20941
29153994;20291
29173931;20291
29181943;20291
29182930;20291
29252990;20291
29309071;20291
29329992;20291
29335913;21106
29372399;21106
30021032;21211
32121000;20711
33059000;20631
38180010;20991
40029930;20339
40040000;22196
3028924;3116
4012090;1521
7099990;1393
7122000;10325
12092400;1415
26070000;7294
28371100;20193
29037734;20291
29042020;20291
29121100;20223
29153100;20291
29280020;20291
29309086;20291
29333362;20291
29333934;20291
29335520;21106
29335916;21106
29415090;21106
33073000;20631
38249019;20991
39033020;20312
39123910;20291
44039200;2101
1051110;1555
3019911;3116
3038955;10201
8029000;1334
10019100;1415
12060010;1415
12079990;1164
17026020;10651
18050000;10937
19030000;10651
20051000;10996
24012010;12107
26100010;7294
27090090;6000
28372090;20193
29039912;20291
29159050;20291
29329300;20291
29339153;20291
29339993;20291
29349919;20291
29372331;21106
29400012;21106
29411043;21106
30021012;21220
30021032;21220
30033100;21211
